"genotype" "labmut" "nposinref" "ngeninMA" "bps.n" "strain" "context" "context_id" "m_sc" "n_c" "t_s"
"R3610" "C->T" 1661176 251000 118 "WT3610" "C->T" 1 118 1661176 251000
"R3610" "C->A" 1661176 251000 23 "WT3610" "C->A" 2 23 1661176 251000
"R3610" "C->G" 1661176 251000 8 "WT3610" "C->G" 3 8 1661176 251000
"R3610" "T->C" 2133850 251000 120 "WT3610" "T->C" 4 120 2133850 251000
"R3610" "T->A" 2133850 251000 25 "WT3610" "T->A" 5 25 2133850 251000
"R3610" "T->G" 2133850 251000 25 "WT3610" "T->G" 6 25 2133850 251000
"MMR-3610" "C->T" 1661176 38000 2419 "MMR-" "C->T" 1 2419 1661176 38000
"MMR-3610" "C->A" 1661176 38000 14 "MMR-" "C->A" 2 14 1661176 38000
"MMR-3610" "C->G" 1661176 38000 21 "MMR-" "C->G" 3 21 1661176 38000
"MMR-3610" "T->C" 2133850 38000 2292 "MMR-" "T->C" 4 2292 2133850 38000
"MMR-3610" "T->A" 2133850 38000 58 "MMR-" "T->A" 5 58 2133850 38000
"MMR-3610" "T->G" 2133850 38000 40 "MMR-" "T->G" 6 40 2133850 38000
"C*" "C->T" 1661176 1895.14 210 "polC" "C->T" 1 210 1661176 1895.14
"C*" "C->A" 1661176 1895.14 19 "polC" "C->A" 2 19 1661176 1895.14
"C*" "C->G" 1661176 1895.14 2 "polC" "C->G" 3 2 1661176 1895.14
"C*" "T->C" 2133850 1895.14 138 "polC" "T->C" 4 138 2133850 1895.14
"C*" "T->A" 2133850 1895.14 13 "polC" "T->A" 5 13 2133850 1895.14
"C*" "T->G" 2133850 1895.14 13 "polC" "T->G" 6 13 2133850 1895.14
"LC*" "C->T" 1661176 230.49 274 "polC_mutL" "C->T" 1 274 1661176 230.49
"LC*" "C->A" 1661176 230.49 2 "polC_mutL" "C->A" 2 2 1661176 230.49
"LC*" "C->G" 1661176 230.49 2 "polC_mutL" "C->G" 3 2 1661176 230.49
"LC*" "T->C" 2133850 230.49 210 "polC_mutL" "T->C" 4 210 2133850 230.49
"LC*" "T->A" 2133850 230.49 12 "polC_mutL" "T->A" 5 12 2133850 230.49
"LC*" "T->G" 2133850 230.49 2 "polC_mutL" "T->G" 6 2 2133850 230.49
